@relation 'TrainingData_g1_7-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,8,10,17-18,20'

@attribute light_hallway {off,on}
@attribute light_bedroom {off,on}
@attribute audio_livingroom {off,on}
@attribute current_lamp_bedroom {off,standby,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g1_7}

@data
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,g1_7
off,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
off,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
on,on,off,on,standby,on,on,OtherActivity
on,on,on,on,standby,on,on,OtherActivity
off,off,on,off,on,on,off,OtherActivity
off,off,on,off,on,on,off,OtherActivity
off,off,on,off,on,on,off,OtherActivity
off,off,on,off,on,on,off,OtherActivity
off,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
off,off,on,off,on,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,on,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,on,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,off,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,on,off,standby,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
